Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
87,5.51887e-07,0.144262,5000,3.00195,10.958,1.00781,1.99414,1.00684,1.00684
88,5.57054e-07,0.144149,5000,3,10.9688,1.00684,1.99316,1.00293,1.00293
89,5.61743e-07,0.144047,5000,2.99902,10.9678,1.00488,1.99414,1.00879,1.00879
90,5.69639e-07,0.143877,5000,3,10.9678,1.00586,1.99414,1.00488,1.00488
91,5.74012e-07,0.143784,5000,3.00293,10.9619,1.00684,1.99902,1.00781,1.00781
92,5.78868e-07,0.143683,5000,3.00098,10.9658,1.00391,1.99707,1.00879,1.00879
93,5.81042e-07,0.143646,5000,2.99805,10.9727,1.00098,1.99707,1.00781,1.00781
94,5.84885e-07,0.143568,5000,2.99902,10.9746,1,1.99902,1.00293,1.00293
95,5.89088e-07,0.14349,5000,2.99805,10.9707,1,1.99805,1.00488,1.00488
96,5.91921e-07,0.143435,5000,2.99805,10.9736,1.00195,1.99707,1.00488,1.00488
97,5.933e-07,0.143407,5000,2.99609,10.9727,1.00195,1.99414,1.00684,1.00684
98,5.96312e-07,0.143356,5000,2.99512,10.9746,1.00293,1.99219,1.00391,1.00391
99,6.00099e-07,0.1433,5000,2.99414,10.9766,1.00293,1.99121,1.00586,1.00586
100,6.01077e-07,0.143287,5000,2.99219,10.9805,1.00098,1.99121,1.00391,1.00391
101,6.03653e-07,0.143248,5000,2.99512,10.9854,1.00293,1.99219,1.00098,1.00098
